Subject,Predicate,Object
Il mago Merlino (book),taken from,https://www.digitale-sammlungen.de/en/details/bsb10035504
Il mago Merlino (book),has type,book
Il mago Merlino (book),has author,Carlo Haugwits
Il mago Merlino (book),has identifier,urn:nbn:de:bvb:12-bsb10035504-6
Il mago Merlino (book),has OCLC identifier,163260542
Il mago Merlino (book),has place of publication,Milano
Il mago Merlino (book),has title,"Il mago Merlino: Memorie, traduzioni, leggende. Raccolte da Carlo Haugwitz, aggiuntavi la tregenda di Merlino, la notte del 19 marzo 1865. Tre tomi in uno"
Il mago Merlino (book),is issued in,1865
Il mago Merlino (book),has shelfmark,P.o.rel. 713
Il mago Merlino (book),has extent,"LV, 359 S."
Il mago Merlino (book),has publication statement,Milano: Corradetti 1865
Il mago Merlino (book),has publisher,Corradetti
Il mago Merlino (book),has subject,Merlin
